,이름,제조사,주원료,규격,도수,설명
354,52C,청산녹수,"정제수, 주정, 증류식소주원액, 오이",500ml,17.5%,"오이처럼 cool 하게 즐기는 싱싱한 오이 증류주. 예전에 유행했던 소주에 오이를 넣어 마시는 오이소주를 떠올리며 만든 술이다. 오이를 소주에 담그면 오이의 색과 향이 소주의 알코올 성분에 침출되어 소주 특유의 쓴 맛과 아로올 취를 부드럽게 하여 술 맛을 순하게 하고 이뇨작용을 활발하게 해주어 체내의 노폐물 배설을 도와주기도 한다고 한다. 오이는 차가운 성질이라 여름에 술 마실 때 나타나는 체온 상승을 어느 정도 억제해주고, 오이의 다양한 비타민은 숙취 해소에 효과가 있다고 한다. 이런 오이의 장점을 침출해 만든 세계 최초의 증류주가 52C이다. 52C를 마시면 입안 가득 오이와 멜론 향이 퍼진다."
355,루드베리,댄싱사이더 컴퍼니,"사과즙(국산), 정제수, 딸기퓌레(국산), 건조레몬그라스(국산), 탄산가스, 동결건조딸기분말(국산), 바질잎, 사과산(산도조절제), 효모, 메타중아황산칼륨(산화방지제), 아황산류함유",750ml,4.5%,로컬 딸기로 시작하여 상큼한 바질로 마무리되는 탄산 톡톡 Strawberry Cider. 로컬 사과와 달콤한 딸기에 더해진 스파클링의 경쾌함을 느낄 수 있는 스윗 사이더이다.
356,주교주,배다리도가,"쌀(국내산), 누룩, 정제수, 정제효소, 효모",500ml,16%,주교주는 살균처리를 하지 않은 술이며 누룩향이 살아있고 단맛과 신맛의 밸런스가 잘 잡혀있는 생약주이다. 배다리도가에서 함께 보내드린 &#039;월계수잎&#039;을 언더락 잔에 띄어 시음하시면 향긋하고 부드러워진 jugyo(주교주)를 즐길 수 있다. 주교주는 배다리 술이라는 의미를 담은 한자이다.
357,일엽편주,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",375ml,15%,꽃술에 들어간 꽃은 시들거나 다치지 않게 하나 하나 손으로 수술을 정리해 세척한 뒤 빚은 술이다. 꽃술은 혀끝에서는 꿀 향이 코끝에서는 아카시아 향이 기분 좋게 퍼진다.
358,오 마이 갓,삼양춘,"정제수, 쌀(국내산), 입국, 전통누룩(밀), 백설탕, 백목련꽃잎, 효모",500ml,14%,전통주 삼양춘 브랜를 빚는 송도향 전통주조의 제조 기술과 미슐랭 1스타 에빗 레스토랑의 조셉&amp;대니얼 셰프의 레시피로 빚어난 첫 번째 프로젝트이다. 오 마이 갓은 에빗의 조셉 셰프가 직접 그린 풍류를 즐기는 선비의 갓에서 비롯된 브랜드 이름이다. 직접 채취해서 발효시킨 백목련 꽃잎을 첨가한 술로 꽃잎의 향기와 풍미가 그대로 담겨 있다. 입 안 가득 퍼지는 새콤하고 달콤한 꽃내음과 부드러운 목넘김으로 시작하고 삼양춘 특유의 깔끔하고 드라이한 피니쉬로 발란스를 맞췄다. 백목련 꽃내음이 가득 담긴 달콤 새콤 향긋한 프리미엄 라이스 와인이다.
359,복단지 350,술아원,"쌀(경기미), 정제수, 복분자(국내산), 누룩(국내산 밀 함유)",350ml,14%,깔끔한 복분자전통주로 복분자 열매를 갓 딴듯한 싱그러움과 부드러운 맛이 인상적이다. 국내산 싱싱한 복분자를 넣었으며 복분자의 달달함과 약주 특유의 깊은 맛의 조화가 아름다운 술이다.
360,보리수헤는밤,백제명가주조,"쌀(국산), 보리수(국산), 매실(국산), 홍국쌀, 누룩(국산)밀〮함유, 정제효소제, 효모, 설탕, 조제종국, 정제수",375ml,8%,국산 쌀과 국산 보리수로 빚은 과실약주이다. 홍국쌀로 붉은색 누룩곰팡이를 발효시켜 만든 홍국이 들어갔다. 백제명가주조가 새롭게 선보이는 &#039;밤&#039; 시리즈의 두번째 술로 여름날 빨갛고 노랗게 익어가는 보리수 열매의 달콤새콤하면서도 쌉쌀한 맛을 담은 명주이다.
361,매화깊은밤,백제명가주조,"쌀(국산), 매실(국산), 누룩(국산)밀〮함유, 정제효소제, 효모, 설탕, 조제종국, 정제수",375ml,8%,국산 쌀과 국산 매실로 빚은 과실약주이다. 백제명가주조가 새롭게 선보이는 &#039;밤&#039; 시리즈의 첫번째 술이다. 한겨울의 매서운 추위를 이겨내고 고고하게 피어난 매화를 담아 100일의 기다림 끝에 태어난 명주이다.
362,고흥유자주 봄에디션,녹동양조장,"쌀, 입국, 누룩, 유자, 원당",500ml,8%,"시트러스 감성 전통주 고흥유자주. 고흥유자주는 100% 고흥유자, 고흥쌀로 빚은 살균 약주로 고흥 지역 특산주이다. 유자 특유의 상큼함과 적당한 달콤함이 느껴지는 &#039;고유&#039;는 과거의 우리술과 현재의 우리 취향이 만나는 경험을 가져다 준다. 입안 전체에 퍼지는 유자향부터 목넘김 후 느낄 수 있는 곡물의 고소함까지 다양한 매력이 느껴지는 전통주이다. 고유는 전통 &#039;곡주&#039;로 유자소주, 과실주, 담금주와 다르다."
363,하얀까마귀,오산양조,"물, 쌀(국내산), 국, 효모 (밀 함유)",850ml,8%,오산의 시조인 까마귀를 모티브로 고두밥을 세번 쪄내어 덧술한 제조 방식인 삼양주로 빚은 고급 탁주이다. G마크 인증을 받은 오산지역 특산품인 세마쌀을 100% 사용하며 일체의 합성첨가물이 없이 제조한다. 쌀탁주의 묵직함을 느낄 수 있으며 순수곡물 베이스의 단조롭지 않은 맛과 쌀막걸리의 상큼한 향기를 잘 느낄 수 있다
364,팔팔막걸리,팔팔양조장,"정제수, 쌀(김포산, 김포금쌀), 국, 산도조절제, 효모, 밀함유",750ml,6%,"팔팔막걸리는 특 등급의 김포금쌀만을 사용해서 빚으며 감미료 없이 만들어졌다. 발효곡주 고유의 부드러움, 은은한 단맛, 산미가 어우러져 시트러스 계열의 과일향이 난다. 마시고 난 뒤 입안에 남지 않는 깔끔한 피니쉬가 가장 큰 매력이다. 1~3주 차에는 탄산이 없으며 맛의 부드러움이 깊어진다."
365,청주신선주탁주,농업회사법인㈜신선,"청원생명쌀(청주산), 정제수, 찹쌀(국내산), 전통누룩(국내산)(밀함유), 약재(국화, 쇠무릅, 당귀, 하수오, 구기자, 맥문동, 인삼, 육계(계피), 숙지황, 생지황)",500ml,10%,"식품첨가물 일체 없이 생지황, 숙지황, 인삼, 당귀, 감국, 구기자, 육계, 맥문동, 하수오, 우슬 등 10가지 약재를 사용한다. 국내산 쌀과 국내산 앉은뱅이밀로 만든 누룩 그리고 맑은 고을 청주에서 나는 지하수를 정제해 건강한 자료로만 정직하게 발효하여100일 이상의 발효와 숙성을 거친 우리나라 전통탁주이다. 약재의 비율이 잘 어우러져 오히려 약재가 들어간지 모를정도로 기분좋은 향과 풍미, 부드러운 목넘김, 그리고 순백색이 특징이다."
366,지란지교 무화과 탁주,(유)친구들의술지란지교,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",500ml,12%,100일 발표 90일 숙성으로 깊고 부드러운 맛과 순창에서 재배한 고품질 무화과와 햅찹쌀 100%를 사용해 무화과의 향긋함과 찹쌀의 달달한 맛이 특징이다.
367,일엽편주,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",750ml,12%,"일엽편주는 깨끗한 물, 깨끗한 공기, 깨끗한 쌀, 전통누룩 자체만으로 자연발효해 쌀 본연의 아름답고 깊은 향을 가진 살아있는 술이다. 온도와 습도 등 환경에 따라 어떤 날은 대범하게 열려있다가도 어떤 날에는 수줍게 닫혀있기도 한다. 정제나 여과 없이 시간을 두고 완성된 술이라는 점을 유념하여 그 다양한 맛과 향을 취흥으로 즐겨주시길 바란다. 일엽편주 탁주 꽃술은 아카시아꽃 향, 야생 꿀, 풋사과의 상큼함, 자몽의 쌉싸르함에 일엽편주 특유의 오묘한 향으로 마무리된다."
368,양조학당 뜰,양조학당,"멥쌀, 찹쌀, 백국, 효모, 솔잎, 쑥, 정제수",500ml,12%,"고문헌 향약집서방의 용호주 탁주 양조법을 그대로 재현하여 발효한 우리술이다. 화학 첨가물을 일체 사용하지 않고 양조학당에서 직접 선벼한 가장 좋은 국산 경기도 쌀과 누룩, 효모배양액, 쑥과 솔잎만을 사용하여 맛과 향을 낸다. 합성첨가물이 없어 지나치게 달지 않고 독하지 않아 간단한 안주와 함께 캌테일처럼 식전주로 마셔도 좋으며 한식 뿐만 아니라 탕, 조림, 육류 및 해산물 요리에 곁들여 마시면 더욱 다양한 맛을 느낄 수 있다. 심하게 흔들 경우 거품이 생겨 흘러 넘칠 수 있으므로 아래위로 두 번 정도만 천천히 흔들어 가라앉은 하얀 쌀입자를 섞어 마시면 된다."
369,아임프리6.0,술샘,"정제수, 쌀(국내산, 경기미), 국(쌀누룩 국내산), 오미자, 효모",500ml,6%,"100% 쌀로 빚고 오미자로 맛과 향을 낸 프리미엄 막걸리이다. 밀 누룩이나 별도의 효소제가 첨가되지 않아 누구나 편하게 즐길 수 있는 프리미엄 탁주이다. 국내산 건오미자를 넣어 새콤달콤한 과실향이 특징으로 냉장보관하여 차갑게 마시면 더욱 좋다. 당화력이 높은 쌀 누룩으로 만들어 글루텐프리를 실현한 누구나 편하게 즐길 수 있는 막걸리이다. 100% 경기미만을 사용하여 오직 누룩과 물 이외에 합성감미료나 색소, 향료조차 들어가지 않은 무첨가 막거리이다."
370,북극곰 막걸리,동해명주,"정제수, 쌀(국내산_포항유기농쌀), 물엿, 효모, 국, 정제효소제, 아스파탐(합성감미료, 페닐알라닌함유), 아세설팜칼륨(합성감미료), 젖산(산도조절제), 밀 함유",750ml,6%,POSCO 용광로에서 나오는 규소로 만든 규산질비료를 쓴 유기농쌀로 빚은 막걸리이다. 규산질비료 경작시 메탄가스가 현저히 줄어 북극곰 살리기에 이바지 한다는 의미로 북극곰탁주라 이름이 붙어졌다. 친환경 eco 프로젝트 막걸리로 병 자체도 재활용이 용이한 최우수등급을 받은 병만 사용한다. 또한 판매수익 일부를 북극곰살리기에 기부하고 있다.
371,봇뜰 막걸리 10도,봇뜰,"쌀, 정제수, 누룩, 밀 함유",750ml,10%,국내산 쌀과 직접디딘 누룩(백곡-밀가루+쌀가루)과 물만을 이용하여 빚은 탁주이다. 두 번 빚은 이양주이며 약간의 산미와 함께 단맛이 특징은 술이다. 봇뜰의 탁주 중에서 가장 가볍게 즐길 수 있는 제품이다.
372,백수환동주,봇뜰,"쌀, 정제수, 누룩",375ml,12%,국내산 쌀과 직접디딘 누룩을 이용하여 빚은 탁주로 누룩으로는 쌀과 녹두가 들어간 백수환동곡이 사용되었다. 술을 빚을 당시 따로 물이 첨가되지 않아 다른 탁주 제품보다 걸쭉하며 단맛이 강하고 향이 많이 두드러지는 술이다. 백수환동주는 머리가 흰 늙은이가 도로 아이가 되는 술이라 하여 붙여진 이름이다.
373,님 그리다,가야양조장,"찹쌀, 멥쌀, 누룩(밀)",750ml,6%,"인공 감미료, 첨가물을 넣지 않고 가야양조장의 발표, 숙성기술로 혼신을 다해 빚어 맛이 진하고 부드러우며 천연의 과일향이 나는 프리미엄 막걸리다. 옛 농주의 맛을 그대로 재현하고자 전통 이양주 기법에 밑술, 덧술 담금에 가수를 적게 했고 농담금법으로 보다 더욱 깊고 걸죽하게 빚었다."
374,냥이탁주 fresh,행주산성주가,"정제수, 쌀(국내산), 찰보리(국내산), 찰수수(국내산), 벌꿀(국내산), 오미자(국내산), 송순(국내산), 누룩, 개량누룩, 밀함유",350ml,5%,고양시 최초의 프리미엄 지역특산주. 인공감미료 없이 고양시에서만 생산되는 품질 좋은 가와지쌀을 주재료로 만든 막걸리. 고양시의 대표 캐릭터 고양이에서 이름을 따온 젊은 감각의 귀여운 고양이 패키지와 밸런스 좋은 새콤달콤 풍성한 맛이 특징이다. 풍무한 유기산이 포함되어 있어 거슬리지 않는 부드러운 신맛과 단맛이 잘 어우러져 있으며 차갑게 해서 마실수록 막걸리 본연의 맛을 즐길 수 있다.
375,금풍양조,금풍양조장,"정제수, 쌀(강화도), 국, 효모, 밀함유",750ml,6.9%,강화도 지역 친환경 무농약 쌀을 사용하고 무감미료 수제 프리미엄 막걸리다. 100년 전통의 양조장에서 빚은 막걸리답게 뛰어난 밸런스의 맛과 부드러운 목넘김이 특징이다. 담백한 과실 향에 탄산이 없어 부드러운 목 넘김을 느낄 수 있다.
376,관악산생막걸리,별네트웍스 과천도가,"정제수, 멥쌀(국내산), 국, 효모, 밀함유",1000ml,6%,"어떤 첨가물이나 감미료 없이 경기미 햅쌀로 빚어 달지 않고 담백하며 언제 어니서나 편안히 즐길 수 있다. 처음에는 풋사과, 청포도 향이 싱그럽고 더 시간이 지나 숙성되면 참외 멜론과 같은 농밀한 단맛이 풍부해진다."
377,과천미주,과천도가,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)",500ml,9%,맑은 샘물처럼 감미로운 우리 쌀 술. 지게미를 최소화하여 귀하게 빚었다. 하루의 피로를 씻어주고 몸의 평화를 회복하는 홈술로 추천한다. 맑고 차갑게 드시고 마지막에 흔들어 청탁의 매력을 즐길 수 있다.
378,G12 골디락스,청산녹수,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",500ml,12%,"싱그러운 과일향과 부드러운 목 넘김으로 마시기 딱 좋은 막걸리다. Ice 공법으로 차갑게 발효하고 더 차갑게 숙성했다. 담백한 맛의 멥쌀과 감칠맛 나는 찹쌀을 오랜 연구개발 끝에 최적의 비율로 사용하여 소박한 단맛을 구현하였고, 여기에 12℃ 저온에서 30일간의 발효와 12℃에서 30일간의 숙성 과정을 거친 깔끔한 막걸리이다."
379,맑은내일 스파클링 막걸리,우포의아침,"정제수, 멥쌀(수입산), 누룩, 정제효소, 아스파탐(감미료/페닐알라닌 함유), 밀함유",750ml,5%,"맑은내일 스파클링 막걸리는 자연탄산으로 제조일로부터 15일 전과 후에 다른 매력을 느낄 수 있다는 것이 가장 큰 특징이다. 제조일로부터 15일 전에는 달콤하고 라이트한 맛과 함께 가벼운 탄산을 느끼실 수 있고, 15일 후에는 풍부한 탄산과 함께 새콤달콤함과 숙성된 바디감의 스파클링 막걸리를 느낄 수 있다."
